Kundennummer;Abnehmer Nr.;Steuernummer des Abnehmers;Creditreform;Entscheidungssumme 1 (Vertragsw hrung);Entscheidungsdatum;Ablaufdatum Betrag 
13463;4094903;DE121002883;5390000294;15000;04.07.2022;
37011;10754198;DE120682513;5270052463;35000;04.07.2022;
52088;98434889;NL822491825B01;;50000;01.07.2022;
14801;7319954;NL003085569B01;;0;01.07.2022;
44514;57898521;DE307645007;8250492992;30000;29.06.2022;
31961;18697274;DE815196119;5090092650;150000;28.06.2022;
59686;15588128;DE239407000;4070391678;50000;27.06.2022;
60559;13543856;DE135083808;2270016313;20000;27.06.2022;
38732;36669348;DE135083576;2270004727;20000;27.06.2022;
27673;77184286;DE271948200;8190767525;20000;27.06.2022;
36510;11071035;DE811409257;2150455010;30000;24.06.2022;
62325;13528361;DE113531331;6210017581;80000;24.06.2022;
47065;407468;DE148404947;6170001017;10000;24.06.2022;
40599;10479179;DE127493154;8130000104;0;23.06.2022;
20251;10053230;NL821944186B01;;15000;23.06.2022;
31560;19347940;DE280945596;7270315460;50000;23.06.2022;
59836;13526640;DE144631878;7370001876;30000;23.06.2022;
17897;13562935;DE178508202;2150660967;150000;22.06.2022;
36653;97230989;DE185133612;2350067065;20000;22.06.2022;
28656;11311267;DE177797108;5210158492;10000;22.06.2022;
17431;14398754;DE173162942;8010010536;20000;22.06.2022;
52419;79835671;DE352494426;4030125083;22000;22.06.2022;
28661;66487165;DE124389888;4250068441;40000;21.06.2022;
36551;8990168;IT02097170969;;20000;20.06.2022;
50400;9210079;CH105885275;;55000;20.06.2022;
13191;4161444;DE178011580;7090061541;35000;17.06.2022;
55974;9870032;DE811953367;4250190666;10000;17.06.2022;
34835;23821925;;5110478788;0;17.06.2022;
29521;75469345;DE811227236;2310193075;0;17.06.2022;
15851;58725496;DE294930836;2012479201;300000;14.06.2022;
24309;13099463;DE813535942;8110111122;10000;14.06.2022;
15453;13536576;DE147319153;7330003646;150000;13.06.2022;
61446;18451118;DE279995325;8270275577;0;10.06.2022;
43416;65647933;DE270350406;6010174801;10000;09.06.2022;
44789;69336273;DE214394904;4170346619;15000;09.06.2022;
25700;4095094;DE119271523;5050026425;10000;09.06.2022;
40621;77196177;;8110168165;10000;07.06.2022;
40620;21645139;DE300550107;6070694936;10000;07.06.2022;
50806;4759298;BE0427130392;;30000;03.06.2022;
55013;80631968;BE0894124224;;20000;03.06.2022;
15733;7268771;FR40310188420;;25000;03.06.2022;
62027;5083545;BE0435641450;;0;02.06.2022;
38831;33153204;DE220052691;4330076976;20000;01.06.2022;
38050;13319552;DE210998621;4010125867;20000;31.05.2022;
20640;12987825;DE117480285;2370177764;140000;31.05.2022;
14770;39727482;DE218503619;5010305061;15000;31.05.2022;
27996;21072208;;5030225429;15000;31.05.2022;
38615;2414518;DE149511553;5290019417;10000;30.05.2022;
36950;68693895;DE272067984;4330275718;15000;25.05.2022;
46696;9870419;DE811776695;4070157628;50000;25.05.2022;
45987;9710229;DE811115796;6150017732;0;23.05.2022;
31048;4169127;DE811129898;8230002157;80000;19.05.2022;
57912;39766311;DE210922107;4030049102;25000;20.05.2022;
38812;14485836;DE813682943;4170222822;25000;19.05.2022;
34667;84164548;;2230170799;30000;19.05.2022;
48024;10322971;DE172529338;8010002507;40000;18.05.2022;
52411;71466595;NL854459480B01;;15000;18.05.2022;
21982;116970;DE114142658;7330917673;10000;17.05.2022;
49644;224737;DE125695239;4290002675;20000;17.05.2022;
59083;3549042;NL001589416B01;;20000;17.05.2022;
12926;3612664;NL008439965B01;;65000;16.05.2022;
46255;15046415;DE813781509;2310212884;250000;13.05.2022;
22060;55731775;PT510268480;;15000;16.05.2022;
49945;98916235;DE252260380;8270239311;30000;13.05.2022;
42690;30933627;DE206012308;2030001595;60000;12.05.2022;
33833;13339167;DE811908917;4070228398;10000;12.05.2022;
32058;9116035;DE812586990;8170467161;25000;12.05.2022;
24405;32198372;;;10000;11.05.2022;
55889;13266764;DE187321821;5110206576;80000;10.05.2022;
25215;17446393;DE180016108;8170386954;20000;10.05.2022;
28576;22199747;;;0;09.05.2022;
51608;10669295;DK25832213;;20000;06.05.2022;
27291;9211360;DE126951398;4010020845;15000;06.05.2022;
62320;21914373;NL855288152B01;;0;06.05.2022;
31364;49711310;DE224355831;7230238391;30000;04.05.2022;
43414;72988341;NL852336019B01;;0;04.05.2022;
55967;3650245;NL002934516B01;;80000;04.05.2022;
34882;21806832;DE295656211;4330313299;0;03.05.2022;
53094;10530416;DE812953531;5210159623;0;02.05.2022;
59806;12945388;DE126179995;4330076089;34000;02.05.2022;
19816;4249165;DE141989243;7010002435;30000;29.04.2022;
11731;7071291;DE811657633;7070099670;10000;29.04.2022;
45470;2330256;DE248768364;6050001498;47000;29.04.2022;
59668;4720873;DE811200143;7350008858;10000;29.04.2022;
49273;9373568;ATU14653604;;50000;29.04.2022;
59804;65924964;DE240498915;8130136241;10000;29.04.2022;
59802;3944950;DE813094241;6070432625;10000;28.04.2022;
55714;4217289;DE164431732;3050000108;10000;28.04.2022;
34997;69681006;DE303637798;7331137774;10000;28.04.2022;
59799;35186101;DE131549661;8250097017;20000;27.04.2022;
59798;13556702;DE132076259;8010026169;50000;26.04.2022;
60507;23015601;DE274563533;5250213669;10000;25.04.2022;
26649;10540219;DE812938760;2410045475;10000;22.04.2022;
24574;9066105;;8190437348;10000;22.04.2022;
44221;4149738;BE0414944620;;0;25.04.2022;
17271;4289303;DE120435010;5230020579;40000;22.04.2022;
23661;13222585;DE175113797;8190362315;30000;21.04.2022;
29505;13641684;DE132064250;8010002956;25000;21.04.2022;
28655;23983269;DE143796381;7170030520;15000;21.04.2022;
13309;13273515;DE811341340;3070048338;30000;14.04.2022;
61459;14256689;DE144901751;8270019765;20000;14.04.2022;
19623;10638012;DE145163194;7330003993;10000;13.04.2022;
18390;9861871;DE255654410;4170280518;10000;13.04.2022;
13113;37705305;FR83479506461;;0;13.04.2022;
52326;67802291;DE321256424;2051036953;15000;12.04.2022;
15460;13079184;DE134866177;2290175637;25000;12.04.2022;
15989;23021286;FR01824220313;;30000;11.04.2022;
38826;52890902;DE342157579;6070794553;10000;11.04.2022;
62275;13242897;DE160702615;7010129871;0;12.04.2022;
42658;52318168;DE246530177;2050671147;20000;12.04.2022;
32645;23765273;RO17517690;;25000;06.04.2022;
36253;3721343;NL801439012B02;;20000;05.04.2022;
51739;16926627;DE814095161;4250346968;30000;04.04.2022;
50456;8987318;EL094186705;;25000;01.04.2022;
51218;10538839;DE813103015;7330593711;50000;31.03.2022;
43150;15506953;DE813546789;5070127096;110000;31.03.2022;
60571;22030596;DE298672758;2012486414;10000;31.03.2022;
61514;59564053;DE815398693;7270299320;20000;30.03.2022;
59786;10325482;DE248288296;4030069427;21000;30.03.2022;
49490;55240881;DE152605278;7330355985;10000;30.03.2022;
12998;51004258;LT100002622810;;150000;29.03.2022;
59390;17008612;DE275429984;8290158150;10000;29.03.2022;
12357;2254068;DE135508903;2390013702;10000;29.03.2022;
48029;9904380;DE257760343;4170144553;10000;29.03.2022;
32618;4040807;DE126638750;4290007985;10000;29.03.2022;
20591;9082656;DE811157376;8310006474;10000;29.03.2022;
47819;291264;DE811560832;3070089038;10000;29.03.2022;
44976;73835998;;2290368725;10000;29.03.2022;
28509;30754141;DE815491060;6070664875;10000;29.03.2022;
29498;82503007;;5310084130;10000;29.03.2022;
43364;64362018;;5030074973;10000;29.03.2022;
62284;35582528;DE812490810;5030412629;10000;29.03.2022;
25849;11313262;DE120152638;5210293344;10000;29.03.2022;
33244;59929435;DE133249371;8230022651;10000;29.03.2022;
24800;13418470;DE145341908;7330256722;10000;29.03.2022;
59568;13428203;DE168257040;8310132564;10000;29.03.2022;
24365;81211986;BE0890846812;;10000;29.03.2022;
20481;16559169;DE251619096;3050214532;10000;29.03.2022;
42960;7184187;DE128242790;8030111512;10000;29.03.2022;
20574;13513476;DE123927535;4250097084;10000;29.03.2022;
31170;13498517;DE189504597;4030040153;10000;29.03.2022;
22312;9737900;NL807291341B01;;10000;29.03.2022;
61024;9017984;FR40419594429;;30000;29.03.2022;
21878;12980034;DE239263656;2050540937;10000;29.03.2022;
49464;4091370;DE123886941;4270003374;100000;29.03.2022;
51577;30546937;DE228221264;8310168051;10000;29.03.2022;
43332;13282324;DE813112472;2310297719;10000;29.03.2022;
50416;30176185;;;10000;29.03.2022;
19927;61442433;;;10000;29.03.2022;
12548;8987397;DE811122744;3050001093;10000;29.03.2022;
42878;10202991;DE811556969;2290108571;20000;29.03.2022;
47034;13557068;DE151823950;3030019280;10000;29.03.2022;
14513;97265691;DE242700489;4030064039;10000;29.03.2022;
25529;275810;DE118616951;2150244313;10000;29.03.2022;
30009;288098;DE132460321;8090000263;10000;29.03.2022;
24109;3922016;;7370000598;10000;29.03.2022;
59027;9825931;DE144638996;7370005018;10000;29.03.2022;
35866;4882003;BE0414642831;;50000;29.03.2022;
29335;16933377;DE814850925;2151348905;100000;29.03.2022;
32189;13433875;;2390017223;10000;29.03.2022;
53174;13208976;DE149319396;5170007703;10000;29.03.2022;
34800;13437964;DE157586325;3290038469;20000;29.03.2022;
20116;11369582;DE135116900;2270062827;30000;29.03.2022;
43076;18071404;DE263788114;6010166936;10000;29.03.2022;
22361;16320248;DE247510107;5210220525;30000;29.03.2022;
52341;16230882;GE11194;;30000;29.03.2022;
52187;14072154;DE171714001;8290138034;30000;29.03.2022;
28408;1270751;DE134049525;8070001871;20000;29.03.2022;
62010;16456561;DE814722959;8250336193;50000;29.03.2022;
23015;15539418;DE814168236;8070204449;30000;29.03.2022;
51855;7285756;NL806240738B01;;50000;29.03.2022;
27874;48819130;DE224952793;4090164856;20000;29.03.2022;
31553;99805037;DE247928898;2290276928;15000;29.03.2022;
50286;9688845;DE136701652;2010193173;10000;29.03.2022;
23963;4777849;DE116380250;2050032489;10000;29.03.2022;
31831;3900768;DE170848216;4250191241;10000;29.03.2022;
57208;16918233;DE256453038;8010137718;10000;29.03.2022;
53352;41899717;DE242054363;3310132149;10000;29.03.2022;
49447;96923345;NL815335167B01;;20000;29.03.2022;
49210;4805297;BE0432390267;;15000;29.03.2022;
11007;3614837;NL801300733B01;;15000;29.03.2022;
62259;47789988;DE251287886;8070233328;10000;29.03.2022;
51898;16707556;PL1250637992;;20000;29.03.2022;
20602;8957561;DE812404628;5350078081;10000;29.03.2022;
13090;13067544;DE210725409;3230008065;10000;29.03.2022;
13176;34787004;DE125137666;4110000883;10000;29.03.2022;
55141;3660063;NL007545733B01;;10000;29.03.2022;
50570;4041082;DE126575433;4330012645;10000;29.03.2022;
28508;11802966;ESB17038233;;10000;29.03.2022;
24040;9872918;DE191377633;4250237466;10000;29.03.2022;
57365;9800803;DE129458871;8330035437;10000;29.03.2022;
61901;22793906;DE161046796;6170032382;10000;29.03.2022;
58178;4158594;DE127487800;8030000577;10000;29.03.2022;
26556;12992066;DE812405820;5330139343;10000;29.03.2022;
59141;13328553;DE253651572;2230024836;10000;29.03.2022;
18034;10003657;NL814917318B01;;10000;29.03.2022;
26601;13209640;DE152147344;2050280847;10000;29.03.2022;
49432;13012423;DE144528444;6150195665;10000;29.03.2022;
40465;69331741;DE266292859;7010324603;10000;29.03.2022;
55438;4022239;DE146587381;7050003747;10000;29.03.2022;
46907;18819878;DE235223488;7210038844;10000;29.03.2022;
38240;13427910;DE124171647;4030011329;10000;29.03.2022;
55569;8185735;BE0449217094;;10000;29.03.2022;
40198;4251813;DE123768719;4250003309;10000;29.03.2022;
15681;17008731;DE814640215;4290191015;10000;29.03.2022;
15987;54443010;DE321089746;2410129203;0;28.03.2022;
52233;11880340;FR06439494097;;0;23.03.2022;
50408;33392880;DE812234152;5230345893;20000;22.03.2022;
27827;23952889;DE246718863;;20000;18.03.2022;
53125;4130799;;0406788137;40000;15.03.2022;
44700;16223000;DE202463807;2150886825;15000;15.03.2022;
50709;13476415;DE812144823;4210040008;10000;15.03.2022;
11246;31182660;DE122532884;5150005794;20000;14.03.2022;
59777;33078548;DE812367507;8070005947;10000;11.03.2022;
27867;35797480;DE315440485;8171138584;350000;10.03.2022;
52406;23425447;DE328474463;2250451713;200000;09.03.2022;31.03.202
13933;78605974;DE169336443;8190354044;20000;08.03.2022;
38600;16922844;DE814903283;7170275926;10000;04.03.2022;
43403;53351254;DE337221767;4170487225;0;04.03.2022;
28014;13559421;DE119435544;5050158825;35000;01.03.2022;
14786;4059143;DE143872368;7170026897;100000;01.03.2022;
32654;15515673;DE814187074;4110116857;10000;01.03.2022;
62102;10231854;DE143290893;7050004207;35000;28.02.2022;
20021;78897833;;8190848352;10000;25.02.2022;
34974;9822093;DE159911760;4070335040;40000;25.02.2022;
13380;4292891;DE811202181;6010004413;90000;24.02.2022;
19219;58740;DE124896895;4190057251;15000;24.02.2022;
51718;12944896;DE113048263;6150017252;20000;23.02.2022;
25032;44441068;DE288160677;4250540211;10000;23.02.2022;
25216;9353733;DE132086858;8010051857;25000;22.02.2022;
52404;13317819;DE814463781;5270113974;10000;22.02.2022;
62297;13392227;DE205688330;6290115059;10000;21.02.2022;
34566;21997044;DE815595850;5330325527;0;18.02.2022;
62308;13417160;DE134853905;2390008570;25000;17.02.2022;
44939;10093506;DE111657521;6190007051;10000;16.02.2022;
25758;4054701;DE123785158;4030013631;10000;16.02.2022;
34972;55248635;NL863500080B01;;50000;15.02.2022;
61499;18010901;DE265151609;2190563660;42000;14.02.2022;
45798;7153273;DE195887728;8190033944;10000;14.02.2022;
15784;4769036;BE0405318953;;15000;11.02.2022;
59249;19994877;FR49511171647;;20000;11.02.2022;
50041;4034146;DE811214658;4050105959;10000;07.02.2022;
32634;44256330;DE339772074;8191050535;10000;08.02.2022;
58222;13151794;DE246257453;8010005363;20000;04.02.2022;
53129;85782991;DE287091608;4050505555;71000;04.02.2022;
44365;94730070;DE186477815;6210156662;35000;04.02.2022;
20229;8258008;BE0458360434;;0;03.02.2022;
44967;16950062;DE257351719;8030284164;10000;03.02.2022;
48834;4320858;DE813269370;8230000473;20000;02.02.2022;
51835;17903661;CH103864888;0406514070;50000;02.02.2022;
60562;15032131;DE813649935;8130124113;10000;02.02.2022;
40352;426878;FR65320955396;;100000;02.02.2022;
11993;13115791;DE811583068;7210032332;10000;01.02.2022;
12618;13284544;DE212841322;8170560055;67000;01.02.2022;
32649;3922818;BE0432823502;;20000;27.01.2022;
46816;4239911;DE133111634;8070035117;25000;24.01.2022;
28649;51037400;;2270390620;15000;25.01.2022;
59738;13514797;DE814667016;4250203969;10000;21.01.2022;
46926;54961386;DE278138991;2170139157;30000;20.01.2022;
43396;3839860;DE126183285;4330006217;15000;20.01.2022;
19953;4752694;DE811189438;4330014186;10000;20.01.2022;
59737;11498156;DE226025768;5270208959;0;20.01.2022;
43395;81577781;DE262014655;8130162133;20000;18.01.2022;
21320;13130567;DE196947548;7210007389;20000;18.01.2022;
40519;97350199;DE815761293;4010283297;30000;14.01.2022;
55840;17864376;DE114879980;2030015441;110000;13.01.2022;
38824;36635204;DE811229973;4250010249;15000;13.01.2022;
24826;8984273;DE170867055;4010028188;10000;11.01.2022;
20596;16690228;DE230290762;7070199613;10000;10.01.2022;
22391;51131013;DE266372826;2151466705;20000;10.01.2022;
45302;10711406;DE146757246;7370044585;15000;07.01.2022;
27231;13379588;DE175160757;4250195365;10000;06.01.2022;
27357;67060541;DE815469985;5110400382;80000;29.12.2021;
52394;22488838;DE349222766;3230230822;15000;21.12.2021;
34817;72387759;DE331957531;7050421724;10000;21.12.2021;
15362;11347207;DE813264438;5070201112;42000;20.12.2021;
43392;1219272;DE811204371;8270006609;30000;16.12.2021;
52251;68234978;DE283640039;5250224672;20000;16.12.2021;
34708;13594840;DE116879790;2030008453;20000;15.12.2021;
19150;2638739;DE179639901;8190019628;10000;13.12.2021;
53306;21258633;DE245851291;3350012800;10000;13.12.2021;
59674;18661795;DE812932051;5270216040;10000;13.12.2021;
52083;4068524;DE120250070;5210000797;82000;13.12.2021;
11929;1073420;ESA08508418;;20000;13.12.2021;
52108;56828898;NL139950217B01;;0;12.12.2021;
30649;13402752;DE111644769;6050006740;10000;09.12.2021;
42927;13302503;DE813502791;5030386635;40000;07.12.2021;
53253;88783742;GB715066255;;0;07.12.2021;
59044;4306635;DE811142354;5070234250;20000;06.12.2021;
32666;1020897;DE142583900;7210000288;10000;02.12.2021;
62023;15972070;DE124888364;4190001996;18000;02.12.2021;
29137;4004237;CH105745409;0406214955;45000;02.12.2021;
33008;15066555;DE813992937;2011604741;12000;01.12.2021;
29084;16817192;ATU63527035;;150000;30.11.2021;
34715;17015615;DE179958291;4170305258;10000;25.11.2021;
58615;4782233;BE0204923881;;15000;23.11.2021;
22023;43651253;DE244907626;6110308258;15000;23.11.2021;
30478;11452594;BE0477488735;;15000;23.11.2021;
24344;10133102;SE556588291601;;35000;22.11.2021;
43078;13494953;DE130957015;8230007086;10000;22.11.2021;
27096;13263754;DE116325140;2050040786;70000;22.11.2021;
33080;89816098;DE157064311;3050066107;75000;19.11.2021;
40610;8103781;BE0436251857;;15000;18.11.2021;
11718;13437949;DE812442980;2050429340;28000;12.11.2021;
31090;7153135;DE132064715;8010002664;180000;12.11.2021;
24438;10739730;DE813216238;4210048390;10000;12.11.2021;
62034;66723217;FR14489469890;;60000;10.11.2021;
40587;23079081;NL859739831B01;;25000;09.11.2021;
45720;13998006;DE811173179;6270075796;15000;08.11.2021;
29174;13188881;DE213371714;7110098976;10000;03.11.2021;
19433;4867410;DE145553841;7030029887;15000;03.11.2021;
24821;78565989;DE342920328;4030025327;10000;27.10.2021;
15463;10005436;DE811994930;6250163783;30000;26.10.2021;
57364;13372706;DE129495482;8330027850;50000;22.10.2021;
50905;50409974;DE274842420;2050815663;100000;21.10.2021;
44575;4085820;FR09778151944;;2000000;22.10.2021;
25803;4123021;DE125232405;4150003656;40000;15.10.2021;
18517;7242313;FR58349403683;;60000;15.10.2021;
40606;17691052;DE134772721;2290221031;10000;18.10.2021;
34824;10393510;DE811285284;8170214444;150000;21.10.2021;
12626;968499;DE128454786;8270069642;10000;14.10.2021;
26043;47644008;DE113822785;6050214791;10000;13.10.2021;
55808;3957046;BE0412019772;;15000;12.10.2021;
59652;99430942;;7310121087;10000;11.10.2021;
34940;4165231;DE137873741;7290102953;10000;11.10.2021;
24144;7184458;DE176828421;3230067905;10000;08.10.2021;
21793;13437549;DE141877538;7110030632;30000;08.10.2021;
20609;11664761;DE114879963;2030006505;100000;07.10.2021;
45420;4048434;DE131706128;8290000229;60000;07.10.2021;
49622;21316251;DE814385871;6070464495;50000;06.10.2021;
49723;11020;GB179328036;;50000;08.10.2021;
12240;816031;DE196240863;2190347181;10000;05.10.2021;
32633;61185166;DE270887263;5030595812;15000;04.10.2021;
61500;21309199;DE292167547;6090137113;10000;01.10.2021;
36646;13293854;DE124084560;4050000865;50000;30.09.2021;
20507;21795100;DE297088908;8230604704;40000;29.09.2021;
27742;15201426;NL813261521B01;;35000;29.09.2021;
52107;8717444;SE556255353601;;15000;28.09.2021;
29301;2244972;ATU15065408;;16000;28.09.2021;
61824;13470888;DE114879971;2030014328;120000;27.09.2021;
43380;51562233;DE259445437;7370154057;10000;24.09.2021;
24123;3886585;DE131939860;8190560488;10000;22.09.2021;
