kdn kontonr;name 001;ans ustid;ans ustid2;Bearbeiter;Bearbeitungsstatus;Bearbeitungsart;Organisationsebene;Adresse Hauptsitz
12929;Beresa GmbH & Co. KG;DE126044974;;SK3;Grün;Final;Abhängige Niederlassung;Beresa GmbH & Co. KG, Egbert-Snoek-Str. 2, 48155 Münster
12965;BroNij Infra B.V.;NL813034334B01;NL813034334B01;0;;;;
12985;BRUYNZEEL Storage Systems B.V.;NL008895508B01;NL008895508B01;0;;;;
12998;UAB  RB BALTIC;LT100002622810;LT100002622810;SK;Grün;Final;Hauptsitz;
12999;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
13069;BASF SE;DE149145247;;0;Grün;Final;Hauptistz/ Konzernmutter;
13073;BASF Coatings GmbH;DE811122710;;0;Grün;Final;Hauptsitz;
13079;BayWa Bau- u. Gartenmarkt;DE279904711;;0;Grün;Final;Inaktiv/ Sperren;
13087;Carl Beutlhauser Kommunal- und Fördertechnik GmbH & Co. KG;DE133695556;;SK3;Grün;Final;Hauptsitz;
13113;BÄR SARL;FR83479506461;FR83479506461;SK3;Grün;Final;Hauptsitz;
13137;Blasy GmbH;ATU65297378;ATU65297378;0;;;;
13154;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
13159;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
13161;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
13164;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
13166;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
13178;Beck & Co. Industriebedarf GmbH & Co. KG;DE 120688456;;SK3;Grün;Final;Hauptsitz;
13186;Becker Umweltdienste GmbH;DE140848237;;0;Grün;Final;Hauptsitz;
13191;Jakob Becker Entsorgungs-GmbH;DE178011580;;SK3;Grün;Final;Hauptsitz;
13194;Becker + Armbrust GmbH;DE138994042;;0;Grün;Final;Hauptsitz;
13309;Carl Beutlhauser Hebe- und Fördertechnik GmbH; DE811341340;;SK3;Grün;Final;Hauptsitz;
13358;Breur IJzerhandel Rivium;NL800494787B03;NL800494787B03;0;;;;
13380;BITO-Lagertechnik Bittmann GmbH;DE 811202181;;SK3;Grün;Final;Hauptsitz;
13402;Blumenbecker Industriebedarf GmbH;DE214670936;;SK3;Grün;Final;Hauptsitz;
13403;Blumenbecker Industriebedarf GmbH;DE214670936;;0;Grün;Final;Abhängige Niederlassung;
13472;Edgar Borrmann GmbH & Co. KG;DE 112643315;;SK3;Grün;Final;Abhängige Niederlassung;Edgar Borrmann GmbH & Co. KG, Neustadt 5-7, 35390 Gießen
13586;BayWa AG;DE129272852;;0;Grün;Final;Hauptsitz;
13590;Karl Briesemeister;DE306586410;;SK3;Grün;Final;Hauptsitz;
13677;Technische Handelsonderneming H. Boss;NL051805121B01;NL051805121B01;0;;;;
13680;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
13743;BYK-Chemie GmbH;DE 811 113 391;;SK3;Grün;Final;Hauptsitz;
13751;UDO BÄR GmbH;DE119562189;;0;Grün;Final;Hauptsitz;
13754;Eisen Bärle GmbH & Co. KG;DE263703938;;0;Grün;Final;Hauptsitz;
13787;Safeline - Bühning & Joswig GmbH;DE 811346618;;SK3;Grün;Final;Hauptsitz;
13817;Brockmann Recycling GmbH;DE 812 591 718;;SK3;Grün;Final;Hauptsitz;
13824;BUS Handelmij Deventer;NL003670314B01;NL003670314B01;0;;;;
13866;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
13899;BayWa AG Kempten;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
13922;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
13923;BÄR & Partner Betriebseinrichtungen GmbH & Co. KG;ATU34747405;ATU34747405;0;Grün;;Inaktiv/ Sperren;
13926;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
13932;BERDING BETON GmbH;DE811247624;;SK;Grün;Final;Hauptsitz;
13934;BROUWERIJ MARTENS N.V.;BE0453709184;BE0453709184;0;;;;
13959;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14029;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14035;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14043;BayWa AG Bamberg;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14055;Gemeente Bernheze;NL001160771B01;NL001160771B01;0;;;;
14116;BASF Coatings GmbH;DE811122710;;0;Grün;Final;Abhängige Niederlassung;
14118;Julius Blum GmbH;ATU35695903;ATU35695903;0;;;;
14147;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14168;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14196;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14204;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14398;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14422;B & L Lager + Fördertechnik GmbH;DE 811 874 007;;SK3;Grün;Final;Hauptsitz;
14434;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14447;Bandatex S.L.;ESB08381998;ESB08381998;0;;;;
14455;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14459;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14462;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14469;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14472;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14481;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14483;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14494;BayWa Technik Aindling;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14495;BayWa AG Monheim;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14526;BLOSSE Renhällnings- & Miljösystem AB;SE556352535001;SE556352535001;0;;;;
14533;BMWILL;BE0461069110;BE0461069110;0;;;;
14550;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14566;BAT Brabants Afval Team Gemeente Tilburg;NL001172773B01;NL001172773B01;SK3;;;;
14567;Baywa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14597;BayWa Technik Altötting;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14606;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14687;BALTIC SARL;FR07428982854;FR07428982854;0;;;;
14690;BRB-Lagertechnik GmbH;DE 812 290 125;;SK3;Grün;Final;Hauptsitz;
14750;BETRANCOURT SAS;FR84323601336;FR84323601336;0;;;;
14783;BayWa AG Wolnzach;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14787;Erwin Berger e.K.;DE214608960;;SK;Grün;Final;Hauptsitz;
14801;BÄR BV;NL003085569B01;NL003085569B01;SK3;Grün;Final;Hauptsitz;
14828;De Bruin Techniek Antwerpen N.V.;BE0442670386;BE0442670386;0;;;;
14844;Blumenbecker Industriebedarf GmbH;DE214670936;;0;Grün;Final;Abhängige Niederlassung;
14975;BayWa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
14986;Buijtendijk bv;NL006934109B01;NL006934109B01;0;;;;
15084;CHT Germany GmbH;DE 152 274 099;;SK;Grün;Final;Hauptsitz;
15099;CITROSUCO EUROPE N.V.;BE0420840438;BE0420840438;0;;;;
15115;Coenen Neuss GmbH & Co. KG;DE 182567817;;SK3;Grün;Final;Hauptsitz;
15134;COMAT S.A.;LU10034239;LU10034239;0;;;;
15152;Container Equipement;FR11337549265;FR11337549265;0;;;;
15389;Chrostiki S.A.;EL094041264;EL094041264;0;;;;
15400;CGK Group bvba;BE0825550964;BE0825550964;SK;Grün;Final;Hauptsitz;
15420;Coca-Cola European Partners Deutschland GmbH;DE 811175457;;SK3;Grün;Final;Abhängige Niederlassung/ Logistikstandort;Coca-Cola European Partners Deutschland GmbH, Stralauer Allee 4, 10245 Berlin
15453;CEMO GmbH;DE147319153;;SK;Grün;Final;Hauptsitz;
15463;STOW DEUTSCHLAND GMBH;DE 811994930;;SK3;Grün;Final;Hauptsitz;
15475;Cornelissen Vorkheftrucks;NL820809615B01;NL820809615B01;0;;;;
15486;BASF Lampertheim GmbH;DE811163809;;0;Grün;Final;Hauptsitz;
15503;Jose Cebria S.L.;ESB46350062;ESB46350062;0;;;;
15521;CARGO FLET BLASANT, S.L.;ESB60267291;ESB60267291;0;;;;
15558;Collé Sittard Machinehandel B.V.;NL008438262B01;NL008438262B01;0;;;;
15605;Comprex s.r.o.;SK2020176653;SK2020176653;0;;;;
15644;Continental Rack bvba;BE0466679668;BE0466679668;SK3;Grün;Final;Hauptsitz;
15647;Certeo Business Equipment GmbH;DE815072755;DE815072755;0;;;;
15687;CEMO S.A.R.L.;FR18325157485;FR18325157485;SK;Grün;Final;Hauptsitz;
15717;COMERCIAL DE MANUTENCION S.L.;ESB08963134;ESB08963134;SK3;Grün;Final;Hauptsitz;
15729;CARRIESCOPIC SAS;FR10438367120;FR10438367120;0;;;;
15755;S.A. Citrique Belge N.V.;BE0400934652;BE0400934652;0;;;;
15757;Coca-Cola European Partners Deutschland GmbH;DE 811175457;;0;Grün;Final;Abhängige Niederlassung;Coca-Cola European Partners Deutschland GmbH, Stralauer Allee 4, 10245 Berlin
15761;COMPTOIR REGIONAL DE LA ROULETTE SARL;FR44381008283;FR44381008283;0;;;;
15765;Cejeco Sprl;BE0462435919;BE0462435919;0;;;;
15781;CEGEQUIP SAS;FR56803740398;FR56803740398;SK;Grün;Final;Hauptsitz;
15784;CEBEO N.V./S.A;BE0405318953;BE0405318953;0;;;;
15789;CROVORG GROUP;PL5262563132;PL5262563132;0;;;;
15805;CFL Technics;LU17942602;LU17942602;0;;;;
15818;PROFISHOP GmbH;DE284281236;;SK;Grün;Final;Hauptsitz;
15823;Coloplast hungary Ltd.;HU12636332;HU12636332;0;;;;
15829;COMEGE SAS;FR23331418384;FR23331418384;0;;;;
15851;Contorion GmbH;DE294930836;;SK;Grün;Final;Hauptsitz;
15855;Concentra Nederland B.V.;NL809734060B01;NL809734060B01;0;;;;
15867;Citipost ike;EL800592200;EL800592200;0;;;;
15870;CNET environnement;FR68753478882;FR68753478882;0;;;;
15876;CILLEKENS - DREESSENS B.V.;NL001699684B01;NL001699684B01;0;;;;
15885;Colruyt;BE0400378485;BE0400378485;0;;;;
15887;CIBRI SAS;FR37378829402;FR37378829402;0;;;;
15894;CETIB SAS;FR31863200549;FR31863200549;0;;;;
15895;Cogétil Scandinavia Aps;DK31484111;DK31484111;SK3;Grün;Final;Hauptsitz;
15899;CG Power Systems Ire Ltd;IE9Z68962V;IE9Z68962V;0;;;;
15901;COVERIS Flexibles Deutschland GmbH & Co. KG;DE149511842;;SK3;Grün;Final;Hauptsitz;
15903;Cosen Saws Europe;NL853021843B01;NL853021843B01;0;;;;
15905;Chemex Foundry Solutions GmbH;DE 811818060;;SK3;Grün;Final;Hauptsitz;
15914;Cartonplast Pallets GmbH;DE 202685442;DE 202685442;0;;;;
15917;CONSTRUCTION STRUCTURES;FR66421198656;FR66421198656;0;;;;
15918;COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX;FR43775685019;FR43775685019;0;;;;
15923;Croda Nederland B.V.;NL810100629B01;NL810100629B01;0;;;;
15929;COVRA nv;NL008836309B01;NL008836309B01;0;;;;
15932;Baywa AG;DE129272852;;0;Grün;Final;Abhängige Niederlassung;
15938;CERATIZIT Luxembourg S.à.r.l.;LU19417061;LU19417061;0;;;;
17060;deeg GmbH;DE145 208 101;;SK3;Grün;Final;Hauptsitz;
17092;Friedrich Delker GmbH & Co. KG;DE119687132;;SK;Grün;Final;Hauptsitz;
17093;Friedrich Delker GmbH;DE170735984;;SK3;Grün;Final;Hauptsitz;
17219;Werner Ditzinger GmbH;DE 176992152;;SK3;Grün;Final;Hauptsitz;
17230;DOLPHINS' EQUIPMENT BVBA;BE0431104820;BE0431104820;0;;;;
17246;Dorscheid GmbH;DE 284 388 399;;SK3;Grün;Final;Hauptsitz;
17271;A. & P. DREKOPF GmbH & Co. KG;DE 120 435 010;;SK3;Grün;Final;Hauptsitz;
17364;Groothandel Delftechniek B.V.;NL007006056B01;NL007006056B01;0;;;;
17415;Debus B. & L. GmbH; DE 297498164;;SK3;Grün;Final;Hauptsitz;
17422;DEWIN Kunststoffen B.V.;NL805513152B01;NL805513152B01;0;;;;
17431;Düperthal Sicherheitstechnik GmbH & Co. KG;DE173162942;;0;Grün;Final;Hauptsitz;
17615;Döhler Holland B.V.;NL004601658B03;NL004601658B03;0;;;;
17725;DUPA Veiligheidstechniek B.V.;NL855159856B01;NL855159856B01;0;;;;
17891;Dachser Netherlands BV;NL003342293B01;NL003342293B01;0;;;;
17897;OTTO DÖRNER Entsorgung GmbH;DE178508202;;SK;Grün;Final;Hauptsitz;
17938;DL INDUSTRIES EURL;FR45353702848;FR45353702848;0;;;;
17983;Duursma Apeldoorn;NL005840351B01;NL005840351B01;0;;;;
18034;DVL Milieuservice BV;NL814917318B01;NL814917318B01;SK3;Grün;Final ;Hauptsitz;
18036;De Milieu Concurrent Vof;NL853055956B01;NL853055956B01;SK;Grün;Final;Hauptsitz;
18048;Düperthal Sicherheitstechnik GmbH & Co. KG;DE173162942;;SK3;Grün;Final;Abhängige Niederlassung;
18094;Dansk Niels Bo APS;DK31735211;DK31735211;0;;;;
18113;DORMA Hüppe Raumtrennsysteme GmbH & Co. KG;DE 815888720;;SK3;Grün;Final;Hauptsitz;
18155;BVBA CHARLES DE MUNTER;BE0412744403;BE0412744403;0;;;;
18196;DD Profishop;DE278533990;;SK;Grün;Final;Hauptsitz;
18264;Emballage Industrie en;NL009606993B01;NL009606993B01;0;;;;
18283;Doesburg Components b.v.;NL008559995B01;NL008559995B01;0;;;;
18287;deeg GmbH;DE145 208 101;;0;Grün;Final;Abhängige Niederlassung;
18305;DKM Tools;NL152296384B01;NL152296384B01;0;;;;
18340;Dobit d.o.o.;SI97132845;SI97132845;0;;;;
18373;Degree Solutions Kft. Ltd;HU24380492;HU24380492;SK3;;;;
18388;DPVT B.V.;NL855159856B01;NL855159856B01;SK3;Grün;Final;Hauptsitz;
18389;DEIJ Hijstechniek;NL126609743B01;NL126609743B01;0;;;;
18404;Daramic SAS;FR74392391728;FR74392391728;0;;;;
18415;Dilago Hijs- en Heftechniek B.V.;NL007670977B01;NL007670977B01;0;;;;
18438;deeg GmbH;DE145 208 101;;SK3;Grün;Final;Abhängige Niederlassung;
18448;De Bruin Services BV;NL006889815B01;NL006889815B01;0;;;;
18461;DESROLEST SAS;FR43321071045;FR43321071045;0;;;;
18463;De Keuken van Limburg BV;NL851811309B01;NL851811309B01;0;;;;
18482;Werner Ditzinger GmbH;DE 176992152;;0;Grün;Final;Abhängige Niederlassung;
18500;Dresdner Gabelstapler Verkauf und Service GmbH;DE 151 79 35 55;;SK3;Grün;Final;Hauptsitz;
18508;DBI Containerservice B.V.;NL851967607B01;NL851967607B01;0;;;;
18517;DELAHAYE Industries SAS;FR58349403683;FR58349403683;SK3;Grün;Final;Hauptsitz;
18519;DOW AgroSciences S.A.S.;FR56950417493;FR56950417493;0;;;;
18520;DERIVERY SAS;FR84349525071;FR84349525071;0;;;;
18523;DESCOURS & CABAUD SAS;FR75424821221;FR75424821221;0;;;;
18532;De Bruin Techniek Roosendaal B.V.;NL006889815B01;NL006889815B01;0;;;;
18534;Dictator Productie B.V.;NL804354716B01;NL804354716B01;0;;;;
18536;Dexion NV / SA;BE0543989955;BE0543989955;0;;;;
18551;deschberger;ATU62169806;ATU62169806;0;;;;
19001;D & D Dakwerken bvba;BE0875810030;BE0875810030;0;;;;
19089;Eisen-Fischer GmbH;DE 811351550;;SK3;Grün;Final;Hauptsitz;
19126;E.L.M. Kragelund A/S;DK11477607;DK11477607;0;;;;
19129;G. Elsinghorst Stahl und Technik GmbH;DE 811 194 263;;SK3;Grün;Final;Hauptsitz;
19170;Jungheinrich Vertrieb Deutschland AG & Co. KG;DE814850925;;0;Grün;Final;Abhängige Niederlassung;
19186;ENVIRO-CHEMIE GmbH;DE 111 627 671;;SK3;Grün;Final;Hauptsitz;
19228;Städtereinigung Rudolf Ernst GmbH & Co. KG;DE 198 212 596;;SK3;Grün;Final;Hauptsitz;
19245;ESRA Handelmaatschappij B.V.;NL804502109B04;NL804502109B04;0;;;;
19278;EUROPIECES LUXEMBOURG  SA;LU14967566;LU14967566;0;;;;
19300;EXPRESSO France SAS;FR11598501963;FR11598501963;0;;;;
19577;DUPUY SARL;FR26829405521;FR26829405521;0;;;;
19665;ECOLLECT;FR35412548315;FR35412548315;0;;;;
19679;EGW Entsorgungs-Gesellschaft Westmünsterland mbH;DE 811 794 621;;SK3;Grün;Final;Hauptsitz;
19687;Engels Logistiek B.V.;NL009588681B01;NL009588681B01;0;;;;Engels Logistiek B.V., Park Forum 1139, 5657 HK Eindhoven, Niederlande
19816;TRUMPF Werkzeugmaschinen Teningen GmbH;DE141989243;;SK3;Grün;Final;Hauptsitz;
19832;EUROGESTE Sàrl;FR92415131929;FR92415131929;0;;;;
19837;G. Elsinghorst Stahl und Technik GmbH;DE 811 194 263;;0;Grün;Final;Abhängige Niederlassung;
19854;Eigenbetrieb für kommunale Aufgaben und Dienstleistungen (EAD);DE111608610;;SK;Grün;Final;Hauptsitz;
19916;ELMAS SRL;RO1115033;RO1115033;0;;;;
19927;Engels Logística e Ambiente, Lda;PT507736915;PT507736915;SK3;Grün;Final;Hauptsitz;
19957;SCHLOSSER EUROPART Technischer Handel GmbH;DE251601070;;SK3;Grün;Final;Hauptsitz;
19999;Engels Logistics N.V.;BE0459508497;BE0459508497;0;Grün;Final;Hauptsitz;
20046;Henk Elzing Techniek B.V.;NL803877869B01;NL803877869B01;0;;;;
20075;Entsorgungszweckverband Völklingen (EZV); DE232595485;;SK3;Grün;Final;Hauptsitz;
20079;Equindus S.à.r.l.;LU16826959;LU16826959;0;;;;
20164;Evonik Industries AG;DE 811160003;;0;Grün;Final;Abhängige Niederlassung;Evonik Industries AG, Rellinghauser Straße 1 - 11, 45128 Essen 
20166;Ecolab Europe GmbH;ATU65111256;ATU65111256;0;;;;
